"action_allow","Zezwól"
"action_UrgentHaul","Pilny transport"
"action_attack","Atakuj"
"action_attack_disabled","Atak wyłączony"
"action_attacking","Atakowanie"
"action_banish","Wygnaj"
"action_cancel","Anuluj"
"action_abortgoal","Anuluj działanie"
"action_chopping","Rąb"
"action_cutallvegetation","Wycinaj"
"action_cutting","Wycinaj"
"action_deconstructing","Rozbierz"
"action_draft","Pobór"
"action_drafted","[Zbrojny/Zbrojna]"
"action_equipping","Wyposaż:"
"action_forbid","Zabroń"
"action_harvesting","Zbieraj"
"action_hunting","Poluj"
"action_list","Czynności"
"action_mining","Wydobywaj"
"action_copybuilding","Kopiuj"
"resource_name_enemy","Zwłoki wroga"
"resource_name_worker","[Zwłoki osadnika/Zwłoki osadniczki]"
"grave","Tu spoczywa"
"window_state_open","Otwarte"
"window_state_closed","Zamknięte"
"open_window_info","Otwarte okno idealnie nadaje się do wietrzenia pomieszczenia podczas upalnego lata."
"closed_window_info","Zamknięte okno pozwala zatrzymać ciepło w środku. Podczas zimy najlepiej go nie otwierać."
"torch_state_on","Zapalona"
"torch_state_off","Zgaszona"
"torch_on_info","Zapalony ogień zapewnia ciepło i światło."
"torch_off_info","Nie zapewnia ciepła ani światła."
"lock_state_locked","Zamknięte"
"lock_state_unlocked","Domyślnie"
"lock_state_always_open","Zostaw otwarte"
"locked_door_info","Te drzwi są zamknięte dla wszystkich."
"unlocked_door_info","Osadnicy mogą przejść przez te drzwi, ale wrogowie i zwierzęta już nie."
"always_open_door_info","Przez drzwi może przejść każdy. Obiekt w żaden sposób nie spowalnia przechodzących."
"forbidden_resource","Zakazane"
"error_no_possible_path","Nie można znaleźć drogi do: <object>!"
"error_autoforbid_message","<object>: jest miejscem zakazanym, ponieważ nie prowadzi do niego żadna droga"
"forbidden_structure_info","Obiekt jest <LinkAlmanac=""Tutorialforbid"">zakazany</link>. Osadnicy nie będą wchodzić z nim w interakcję, dopóki im na to nie zezwolisz. Dopuść obiekt, klikając „Zezwól” albo korzystając z odpowiedniego polecenia."
"forbidden_resource_info","Ten stos zasobów jest <LinkAlmanac=""Tutorialforbid"">zakazany</link>. Osadnicy nie będą z niego korzystać, o ile nie uzyskają zezwolenia. Zezwól na te zasoby, klikając „Zezwól” albo wydając rozkaz zezwolenia."
"forbidden_shelf_info","Składowanie zasobów w tym miejscu jest <LinkAlmanac=""Tutorialforbid"">zabronione</link>. Osadnicy nie odejdą ani nie zabiorą zasobów, dopóki nie otrzymają zezwolenia. Aby wyrazić zgodę, kliknij „Zezwól” albo użyj polecenia zezwolenia."
"armor_damage","Uszkodzenia pancerza"
"armor_hitpoints_percentage","Wartość procentowa PZ pancerza"
"armor_rating","Klasa pancerza"
"attack_duration","Czas trwania ataku"
"banish_worker_confirm","Wygnanie [osadnika/osadniczki] będzie miało negatywny wpływ na pozostałych mieszkańców. Czy na pewno chcesz kontynuować?"
"base_damage","Obrażenia aktywnej broni"
"base_range","Zasięg aktywnej broni"
"base_yield_peak","Podstawowy plon szczytowy"
"base_yeald_ripe","Podstawowy plon, gdy dojrzałe"
"base_yeald_phase","Podstawowy plon w tym okresie"
"body_armor","Pancerz ogólny"
"building_damage","Uszkodzenia budynku"
"building_error_not_reachable","Nie można dotrzeć do budynku"
"building_error_no_resources","(Brak wystarczających zasobów)"
"building_error_no_skilled_construction_worker","Brak osadnika mającego niezbędne umiejętności budowlane"
"building_phase_0","PLAN"
"building_phase_1","Etap planu"
"building_phase_2","Etap budynku"
"cover_amount","Wartość osłony"
"cover_percentage","Skuteczność osłony"
"crop_freeze_temperature","Temperatura śmierci roślin"
"crop_grow_time","Czas wzrostu"
"crop_grow_life_span","Żywotność"
"crop_stop_temperature","Temperatura zatrzymania wzrostu"
"crop_min_sow_temperature","Minimalna temperatura zasiewu"
"damage","Obrażenia"
"damage_per_second","Obrażenia na sekundę"
"damage_per_second_ab","Obr./s"
"dead","Nie żyje"
"dig_resource_health","Punkty zdrowia"
"durability","Wytrzymałość"
"effect_reason_attribute_decomposespeed","Rozpada się z powodu"
"effect_reason_attribute_rottingspeed","Gnije z powodu"
